1,3.5,3.3333,1.8333,2,1.3333
1,3.8333,3.8333,1.6667,2.1667,1.3333
1,3.1667,3.6667,2.1667,2.3333,1.3333
1,4.1667,3.5,2,2,1.3333
1,4.3333,4.3333,2.3333,1.6667,1.3333
1,3.8333,4.3333,2.1667,1.3333,1.3333
1,3.8333,3.8333,1.8333,2,1.3333
1,4.1667,4.1667,1.1667,2.3333,1.3333
1,3.5,3.1667,2.8333,2.5,1.3333
1,4.3333,3.8,2.4,2.3333,1.3333
1,4.6667,4.6667,2.8333,2.3333,1.3333
1,3.8333,4.6667,1.6667,1.6667,1.3333
1,3.6667,4.1667,1.8333,2.5,1.3333
1,3.1667,4,1.5,1.1667,1.3333
1,4.3333,3.8333,1.8333,1.8333,1.3333
1,5,4.3333,1.5,2.6667,1.3333
1,4.5,4.1667,2.3333,2.5,1.3333
1,4.5,4.3333,1.8333,1.8333,1.3333
1,3.3333,3.6667,2.1667,1.5,1.3333
1,3.6667,3.1667,3.1667,2.6667,1.3333
1,4.6667,4,2.3333,3.1667,1.3333
1,3.5,4,2.5,1.6667,1.3333
1,4,4.1667,1.8333,2.1667,1.3333
1,4.1667,3.1667,1.1667,1.3333,1.3333
1,4.3333,3.8333,1.5,1.6667,1.3333
1,4.1667,4,3,2.3333,1.3333
1,3.3333,4.5,2.5,1.8333,1.3333
1,3.1667,3.8333,1.6667,1.6667,1.3333
1,3.8333,4,2.5,2.3333,1.3333
1,4.8333,3.3333,1.3333,1.8333,1.3333
1,2.8333,2.8333,2,2.5,1.3333
1,4.3333,3.5,1.6667,1.5,1.3333
1,3.8333,3.6,1.6667,1.8333,1.3333
1,3.6667,3,2.6667,3.1667,1.3333
1,4.4,4.3333,2.2,1,1.3333
1,3.5,3.8,0.83333,2.8333,1.3333
1,3.6667,3.6667,1.5,2.3333,1.3333
1,5,5,1,1.1667,1.3333
1,4.3333,3.6667,2.6667,1.3333,1.3333
1,2.8333,3.3333,2,1.6667,1.3333
1,3.3333,3.6667,0.5,1.8333,1.3333
1,3,3.8333,1.6667,2.3333,1.3333
1,3.8333,4,2.1667,1,1.3333
1,4.3333,4.6,3.1667,1,1.3333
1,3.8333,3.8333,2,1,1.3333
1,4,4.1667,2.1667,2.8333,1.3333
1,3.8333,3.3333,2.1667,1.6667,1.3333
1,4,4.3333,1.8333,2,1.3333
1,3.8333,3.6667,2.8333,2.3333,1.3333
1,3.1667,4.6667,2.5,3.6667,1.3333
1,3.3333,4,2.5,1.3333,1.3333
1,3.3333,3.8333,2.5,4,1.3333
1,3.8333,3.5,2.3333,2.5,1.3333
1,4,4.1667,2.3333,1.6667,1.3333
1,4.3333,3.8,2,1.6667,1.3333
1,4.8333,4.1667,2.5,2.5,1.3333
1,4,3.3333,2.1667,2.3333,1.3333
1,2.8333,3.3333,1.5,1.1667,1.3333
1,3.5,4.6667,1.8333,1.3333,1.4
1,3.5,3.1667,2.8333,3.1667,1.5
1,4.5,4.3333,2.5,2.6667,1.5
1,3,3.5,3,2.8333,1.5
1,4.1667,4.3333,2.3333,1.1667,1.5
1,3.6667,4.3333,2.1667,2.1667,1.5
1,3.5,3.3333,2.6667,2.8333,1.5
1,5,4.5,2.6667,2,1.5
1,4,4.5,0.66667,1.5,1.5
1,3.8333,3.3333,1.5,1.6667,1.5
1,3.8333,3.3333,1.1667,2.1667,1.5
1,3.6667,3.1667,0.5,1.3333,1.5
1,3.1667,3.6667,1.5,2.5,1.5
1,4.1667,3.6667,1.3333,2.1667,1.5
1,4.6667,4.5,2.3333,1.5,1.5
1,3.8333,4.1667,2.3333,2.1667,1.5
1,3.8333,3.3333,2.5,2.3333,1.5
1,4.1667,3.6667,3.5,3.3333,1.5
1,3.1667,3.6667,1.3333,2,1.5
1,2.6667,3.3333,2.6667,1.8333,1.5
1,4.1667,3.6667,1.1667,2,1.5
1,3.6667,3.5,1.1667,3.1667,1.5
1,4.5,4,2.4,3,1.5
1,3,2.3333,1.8333,2,1.5
1,3.5,2.5,2.8333,2.5,1.5
1,3.8333,3.3333,2.3333,1.6667,1.5
1,3.8333,4.1667,2.6667,2.1667,1.5
1,3.5,4.1667,1.5,2.5,1.5
1,4.3333,4.3333,2.3333,2.5,1.5
1,3.8333,3.6667,2.5,2.1667,1.5
1,4.2,4.4,2.3333,1.8333,1.5
1,3.1667,4.3333,2.6667,2,1.5
1,3.8333,4.5,0.66667,1.3333,1.5
1,2.1667,3.5,1.8333,2.1667,1.5
1,3.6667,3.8333,2.6667,2.3333,1.5
1,3.6667,3.3333,1.8333,1.6667,1.5
1,4.1667,4.3333,2.3333,2.5,1.5
1,4,3.5,2.1667,2.1667,1.5
1,4.1667,4.5,2.1667,1.5,1.5
1,4.3333,3.8333,1.8333,2.3333,1.5
1,4,4.3333,3,2.6667,1.5
1,2.6667,3,1,1.5,1.5
1,2.8333,4.3333,2.6667,2.8333,1.5
1,3,4.5,2.3333,2.1667,1.5
1,3,3.1667,3.1667,2.3333,1.5
1,3,3.3333,1.8333,1.6667,1.5
1,4.3333,4.6667,1.3333,1.8333,1.5
1,4.6667,3.5,2.6667,1.1667,1.5
1,3.3333,3,2,3.1667,1.5
1,3.3333,4,1.1667,2.6667,1.5
1,3.5,3.5,2.6667,1.5,1.5
1,4.6667,4.6667,2.5,1.3333,1.5
1,2.5,3.3333,1.3333,2.3333,1.5
1,4.1667,4.5,2.1667,2.5,1.5
1,3.5,4.3333,2.8333,1.3333,1.5
1,4.1667,3.3333,1.8333,3.1667,1.5
1,2.6667,3.1667,2,1.8333,1.5
1,3,3.3333,1.1667,1.6667,1.5
1,3.6667,3.6667,2.8333,0.66667,1.5
1,4.8333,5,1.3333,1.5,1.5
1,3.5,3.5,2.3333,2.1667,1.5
1,3.8333,3.8333,2.5,2.1667,1.5
1,4.1667,4.3333,2.5,2,1.5
1,4,3.6,1.1667,1.1667,1.5
1,3.8333,3.6667,2.1667,2.1667,1.5
1,2.1667,2.6667,2,1.3333,1.5
1,4,3.5,2.6667,2.5,1.5
1,4,4.6667,0,0.83333,1.5
1,4,4.5,2.3333,1.6667,1.5
1,3.6667,3.1667,0.83333,2,1.5
1,4.6667,4.1667,3,1.5,1.5
1,4.1667,4.1667,3,2.6667,1.5
1,3,2.4,1.6667,1.8333,1.5
1,4,2.8,1.6667,2.3333,1.5
1,3.3333,3.5,1.3333,2,1.5
1,4.3333,4.3333,2.8333,1.8333,1.5
1,3.3333,3.6667,1.5,1.3333,1.5
1,3.6667,3.1667,2.3333,2.5,1.5
1,4.8333,4,2.1667,1.8333,1.5
1,3.6667,3,2.5,3,1.5
1,3.8333,4,2.6667,2.3333,1.5
1,4.5,4.1667,1.6667,1.8333,1.5
1,3.3333,2.3333,2,2.5,1.5
1,3.3333,4,2,2.1667,1.5
1,3.8333,4.1667,2.1667,2.6667,1.5
1,4.6667,4,2.1667,2.1667,1.5
1,3.1667,4,2.8333,1.1667,1.5
1,4.1667,4,1.5,1,1.5
1,3.8333,4.6667,1.5,1.1667,1.5
1,4.6667,4.5,1.8333,1.6667,1.5
1,4.8333,4,2.3333,1.8333,1.5
1,2.5,4.1667,1.3333,3,1.5
1,3.5,3.3333,1.5,1.3333,1.5
1,4.1667,4.3333,2.6667,2,1.5
1,4.3333,4,1.1667,0.66667,1.5
1,4,3,2.3333,2.5,1.5
1,3.8333,3.8333,0.5,2.5,1.5
1,4.4,5,1.6667,1.1667,1.5
1,4.3333,3,2,2.1667,1.5
1,3.1667,4.1667,2.1667,1.5,1.5
1,3.8333,2.5,1.8333,2.3333,1.5
1,3.6667,4.1667,2.3333,2.5,1.5
1,3.6667,3.3333,1.5,1.8333,1.5
1,2.8333,4.1667,2.6667,1.6667,1.5
1,5,4.6667,2,2.3333,1.5
1,3.5,3.6667,1.8333,1.1667,1.5
1,3.6667,3.8333,3.1667,3,1.5
1,4.8333,4,1,0.66667,1.5
1,3.5,4.3333,1.3333,1.6667,1.5
1,2.6667,3.8333,1,1.6667,1.5
1,3.8333,3.8333,1.6667,1.5,1.5
1,3.3333,4.1667,2.1667,2.5,1.5
1,4.1667,4.8333,1.6667,2.5,1.5
1,4.6667,3.1667,1.6667,1.1667,1.5
1,2.3333,3,2.1667,1.6667,1.5
1,3,3,1.5,1.8333,1.5
1,3,4.5,2.3333,2.3333,1.5
1,2.8333,2.6667,1.8333,2.1667,1.5
1,4.1667,4.6667,3,2.6667,1.5
1,4.3333,4.8333,0.83333,1.1667,1.5
1,3.1667,4.1667,2.5,2,1.5
1,4,4.1667,1.3333,1.8333,1.5
1,1.6667,1,1.6667,1.8333,1.5
1,4.8333,3.8333,3.5,1.5,1.5
1,3.5,3.5,1.1667,2.6667,1.5
1,4.1667,4.3333,0.5,0.66667,1.5
1,2,2.8333,1.6667,1.8333,1.5
1,3.3333,3.5,2.5,2.5,1.5
1,4.1667,4.1667,2.1667,3.3333,1.5
1,4.1667,4.5,1.6667,2.5,1.5
1,2.6667,2.1667,1.1667,1.3333,1.5
1,4,4.3333,2.6667,2.1667,1.5
1,3.1667,3.6667,1.8333,2.1667,1.5
1,4.3333,4.5,1.6667,2,1.5
1,3.3333,3.8,2,2,1.5
1,3.5,5,1.8333,1.8333,1.5
1,4.1667,3.3333,2.3333,1.1667,1.5
1,4.1667,2.8333,2.5,2,1.5
1,4,3.8333,2.6667,3.8333,1.5
1,4.8333,4.5,2.6667,2.3333,1.5
1,4.1667,3.8333,3.5,1.8333,1.5
1,3.6667,4,2.8333,2.1667,1.5
1,2.8333,4.1667,2.3333,2.8333,1.5
1,2.1667,3.6667,1.6667,2.5,1.5
1,4.5,3.6667,2.8333,3.5,1.5
1,3.5,3.1667,1.8333,1.1667,1.5
1,3,3.1667,1.6667,2,1.5
1,3.8,4.3333,2.8333,1,1.5
1,4.1667,4.5,1.6667,1.3333,1.5
1,4,4.3333,2.5,2,1.5
1,3.5,5,1.5,1.1667,1.5
1,4.1667,4.8333,2.5,2.3333,1.5
1,4,3.8333,1.5,1.5,1.5
1,3.6667,4.3333,1.8333,2.3333,1.5
1,3.1667,3.5,1.6667,3.6667,1.6
1,3.5,4.5,1.1667,2,1.6
1,3.8333,4.6667,1,1.8333,1.6
1,3.3333,3.8333,2.8333,2.8333,1.6667
1,4.1667,3.5,1.5,2.3333,1.6667
1,4.5,4.8333,2.8333,2.8333,1.6667
1,4.8333,3.8333,1.5,1.6667,1.6667
1,4.6667,4,2.8333,2.1667,1.6667
1,2,3,1.5,1.8333,1.6667
1,4.4,4.1667,2.1667,2.3333,1.6667
1,3.3333,2.8333,2,2.8333,1.6667
1,3.6667,3.5,2,2.5,1.6667
1,4.6667,4,2.6667,3,1.6667
1,4.1667,3.1667,1.8333,2.3333,1.6667
1,3.6667,3.6667,1.1667,2,1.6667
1,3.6667,4.3333,2.6667,1.8333,1.6667
1,2.5,4.5,2,2.3333,1.6667
1,4.3333,4.1667,1.5,1.8333,1.6667
1,4.8333,4.1667,2.6667,1.1667,1.6667
1,4.5,3.6667,3.5,1.5,1.6667
1,4.8333,4.8333,1.1667,0.66667,1.6667
1,4.3333,4.5,2.3333,1,1.6667
1,3.1667,2.1667,2.1667,3.3333,1.6667
1,4.1667,4.5,2,1.5,1.6667
1,4.6667,4.6667,2.5,2,1.6667
1,2.6667,4.1667,2.5,2.6667,1.6667
1,4.5,3.8333,2.1667,2.5,1.6667
1,2,2.5,1,2.6667,1.6667
1,4.1667,4.3333,2.3333,1.3333,1.6667
1,4.5,3.3333,1,0.5,1.6667
1,3.6667,4.1667,2.8333,2.1667,1.6667
1,4.3333,4,2.6667,1.6667,1.6667
1,4.8333,4.3333,2.3333,1,1.6667
1,4.3333,3.6667,3,2.6667,1.6667
1,4.3333,4.4,2.3333,2.6667,1.6667
1,3.6667,3.8333,2.3333,2.5,1.6667
1,3.8333,3.6667,2,2.8333,1.6667
1,3.6667,5,2.5,2,1.6667
1,4.3333,4.3333,1,2.1667,1.6667
1,3.3333,3,3.3333,2.1667,1.6667
1,4.6,4.8333,2,2,1.6667
1,3.5,4.5,1.5,1.3333,1.6667
1,4.3333,4.1667,1.8333,2.1667,1.6667
1,4.6667,4,1.8333,0.66667,1.6667
1,4,3.6667,3,3.3333,1.6667
1,3.8333,4.8333,1,1.1667,1.6667
1,4.1667,4,2.5,2.8333,1.6667
1,3.6667,3.1667,2.1667,2.3333,1.6667
1,3.8333,3.8333,3.1667,2.6667,1.6667
1,2.8333,4.6667,3,3,1.6667
1,3.8333,3.6667,3.8333,2.6667,1.6667
1,3.5,3.6667,2.5,2.6667,1.6667
1,3.6667,4.6,2,1.6667,1.6667
1,5,4.3333,1.1667,1.3333,1.6667
1,3.5,4,1.8333,1.5,1.6667
1,4,4.6667,2,1.8333,1.6667
1,3.3333,3.8,2.8333,2.5,1.6667
1,3.6667,4.8333,2.6667,1.3333,1.6667
1,4.8333,4.1667,2.1667,0.83333,1.6667
1,4.8333,4,3.8,2.1667,1.6667
1,4.1667,3.8333,2.1667,1.6667,1.6667
1,2.8333,3.5,1.5,1.8333,1.6667
1,4.1667,3.5,2.1667,2.1667,1.6667
1,3.6667,3.3333,2.6667,3,1.6667
1,4.6667,4.3333,1.6667,2.6667,1.6667
1,2.5,3.6667,2.6667,2.6667,1.6667
1,3,4.5,2.3333,2.6667,1.6667
1,3.6667,4.1667,2.3333,2.5,1.6667
1,2.8333,3.1667,2.8333,3,1.6667
1,4.6667,5,2,2.5,1.6667
1,3.8333,3.3333,3.5,2.6667,1.6667
1,3.1667,3.6667,2.8333,2.3333,1.6667
1,3.8333,4.5,2.8333,2.3333,1.6667
1,4,4.3333,2.2,2.1667,1.6667
1,4.6667,4,1.8333,2.5,1.6667
1,4.6667,3.8333,1.8333,2.1667,1.6667
1,2.3333,3.8333,2.3333,2.1667,1.6667
1,2.6667,4,2.5,2.6667,1.6667
1,4.3333,3.6667,3,2.6667,1.6667
1,4.6667,4.1667,0.33333,1.5,1.6667
1,3.1667,3.3333,2.5,2.5,1.6667
1,4.1667,4.1667,1.8333,2.1667,1.6667
1,3.8333,3.8333,0.83333,0.66667,1.6667
1,4,3.5,2.1667,2.3333,1.6667
1,2.8333,3.5,1.6667,1.6667,1.6667
1,3.8333,4,2,1.5,1.6667
1,4.8333,3.6667,1,1.1667,1.6667
1,4,3.5,2.6667,2,1.6667
1,3.8333,4,2.1667,2.6667,1.6667
1,3.3333,3.8333,1.6,1.1667,1.6667
1,3.6667,4.5,1.8333,2.3333,1.6667
1,3.5,4.5,1,1,1.6667
1,3.1667,3.3333,2,2.6667,1.6667
1,4.8333,4.1667,1.6667,2.3333,1.6667
1,4.3333,4.1667,1.6667,0.83333,1.6667
1,3.8333,5,2.1667,2.5,1.6667
1,4.5,4.8333,2.6667,1.6667,1.6667
1,4,3.6667,2.1667,2.3333,1.6667
1,4,3.5,1.8333,2.5,1.6667
1,4.8333,3.8333,2,1.8333,1.6667
1,3.6667,4.3333,1.6667,2.5,1.6667
1,3.3333,4.1667,2.6667,2.1667,1.6667
1,4.5,3.3333,0.66667,1.5,1.6667
1,2.8333,3.1667,1,1.8333,1.6667
1,4.6667,4.6667,2.5,1,1.6667
1,4.3333,4.1667,1.3333,2,1.6667
1,4.5,3.8333,2,2.5,1.6667
1,2.1667,2.6667,1,0.83333,1.6667
1,3.8333,4,1.6667,2,1.6667
1,3.8333,4.3333,2.6667,2.6667,1.6667
1,3.1667,4.1667,1.1667,1.3333,1.6667
1,4.5,4,2.8333,1.3333,1.6667
1,4,4.1667,2.1667,2.1667,1.6667
1,4.1667,4.1667,2.8333,1.5,1.6667
1,2.6667,3.8333,0.66667,2.5,1.6667
1,3.1667,3.1667,1.3333,0.83333,1.6667
1,3.3333,3.3333,2,2.6667,1.6667
1,3.4,3.8333,2,2.5,1.6667
1,3,4.5,1.8333,3,1.6667
1,4.6667,4.8333,1.8333,2.8333,1.6667
1,4.8333,4.6667,3.3333,1.3333,1.6667
1,4.5,4.1667,4.1667,3.3333,1.6667
1,4.1667,5,2.8333,2,1.8
1,3.8333,4,2.8,2.25,1.8
1,3.8333,4.8333,3.5,2.1667,1.8333
1,4.6667,4.5,2.1667,2.1667,1.8333
1,3.5,4,2.5,3.3333,1.8333
1,5,4.8333,1.8333,1.1667,1.8333
1,4,4.3333,1.3333,1.8333,1.8333
1,3.6667,4.3333,1.8333,1,1.8333
1,3.8333,4.3333,1.1667,2.5,1.8333
1,2,2.3333,2.1667,2.6667,1.8333
1,4.1667,4.1667,2.8333,2.1667,1.8333
1,4.1667,4,2.5,2.8333,1.8333
1,4.3333,4.1667,3,1.6667,1.8333
1,3.8333,4.6667,1.8333,2,1.8333
1,3.8333,3.1667,2.5,2.8333,1.8333
1,3.8333,4.4,2.8333,2.8333,1.8333
1,3.5,3.6667,1.3333,2.6667,1.8333
1,3.5,3.3333,3,3,1.8333
1,4.5,4,0.66667,2.1667,1.8333
1,3.8333,3.8333,1.6667,1.1667,1.8333
1,4.1667,4.6667,2.5,3.8333,1.8333
1,3.8333,4.1667,3,2.6667,1.8333
1,3.3333,3.5,2.6667,2.3333,1.8333
1,4.5,4.1667,1.3333,1.8333,1.8333
1,2.8333,2.5,2.1667,2.8333,1.8333
1,3.3333,3.6667,2.3333,3,1.8333
1,4,3.5,1.6667,2,1.8333
1,3.1667,2.3333,2.1667,2.3333,1.8333
1,2.8333,3.5,1.3333,2,1.8333
1,3.8333,3.6667,3.3333,2.8333,1.8333
1,4.5,4.6667,1.1667,2,1.8333
1,3.1667,3.8333,1.8333,2.3333,1.8333
1,3.5,3.3333,1.5,1.8333,1.8333
1,4,4.8333,3.1667,3.1667,1.8333
1,3.1667,4.1667,2,1.6667,1.8333
1,4.1667,4.3333,2.5,2.3333,1.8333
1,4.3333,3.5,2.6667,2.8333,1.8333
1,3.5,4,3,2.6667,1.8333
1,2.5,4,2.6667,3.1667,1.8333
1,4.5,4.8333,1.8,2.1667,1.8333
1,3.8333,3.5,3.5,2.6667,1.8333
1,3.8333,4.1667,1.8333,3,1.8333
1,4.3333,4,1.1667,2.5,1.8333
1,3.8333,4.3333,1.8333,1.3333,1.8333
1,4,4.1667,2.4,2.3333,1.8333
1,4.5,4,2.5,2.1667,1.8333
1,4.8333,5,2.5,1.8333,1.8333
1,3,3,2.6667,1.6667,1.8333
1,4.1667,4.3333,2.8333,2.3333,1.8333
1,3.5,3.3333,2.8333,3.1667,1.8333
1,4.3333,4,2.8333,2.1667,1.8333
1,3.1667,4,2,3,1.8333
1,4.1667,4.1667,2.1667,1.5,1.8333
1,3.6667,5,2,1.6667,1.8333
1,3.8333,4,2.5,2.6667,1.8333
1,4.6667,4.1667,0.66667,0.5,1.8333
1,3.6667,3.1667,3,3.3333,1.8333
1,4.5,4.8333,0.83333,1.8333,1.8333
1,4.5,4,2,2.3333,1.8333
1,4.5,3.5,2.1667,2.1667,1.8333
1,3.3333,4.6667,3,2.6667,1.8333
1,4.6667,4.5,1.3333,1,1.8333
1,4.1667,4.3333,2.6667,2.3333,1.8333
1,4.1667,4.6667,2,2.5,1.8333
1,4.5,4.6667,2.8333,2.6667,1.8333
1,4,4.5,0.66667,0.83333,1.8333
1,4.5,3.5,1.1667,0.83333,1.8333
1,4.5,4.6667,1.5,2,1.8333
1,4.3333,3.8333,2.6667,2.6667,1.8333
1,4.8333,4.1667,2.3333,1.6667,1.8333
1,4,4.5,2.5,3.1667,1.8333
1,3.8333,4,3.3333,2.8333,1.8333
1,3.8333,4.3333,1.5,2,1.8333
1,3.8333,3,2.5,2,1.8333
1,3.1667,3.5,2.6667,2.5,1.8333
1,3.3333,3.5,3,3.5,1.8333
1,4.1667,2.5,0.33333,2,1.8333
1,4,4,2.5,3,1.8333
1,3.6667,4.1667,1.5,1.6667,1.8333
1,4.5,4.8,2.1667,3.1667,1.8333
1,3,4.1667,1.3333,1.6667,1.8333
1,4.5,4.3333,2.1667,1.8333,1.8333
1,3.1667,3.3333,2,1.5,1.8333
1,3.6667,3.8333,1.8333,1.3333,1.8333
1,4.8333,4,2.1667,1.3333,1.8333
1,4.6667,4.5,1.8333,1.6667,1.8333
1,4,4,1.3333,3.3333,1.8333
1,4.5,3.6667,2.5,3,1.8333
1,3.3333,4.3333,1.8333,2.1667,1.8333
1,4.8333,4.1667,1.3333,1.3333,1.8333
1,4.6667,4.5,2.6667,1.8333,1.8333
1,3.6667,3.3333,2.3333,2.1667,1.8333
1,2.8333,4,1.8333,2.5,1.8333
1,3.1667,3.8333,1.1667,2.8333,1.8333
1,4.1667,4.5,3,2.6667,1.8333
1,2.5,2.3333,2,2.3333,1.8333
1,4.3333,4.5,1.5,1.6667,1.8333
1,2.5,3.3333,3,3,1.8333
1,4,4.8333,2.1667,1,1.8333
1,4.3333,3.5,3,3.1667,1.8333
1,4.3333,3.8333,3,1.8333,1.8333
1,3.3333,3.5,2.1667,1.3333,1.8333
1,3.8333,2,1.1667,2.5,1.8333
1,4,4,3,2.1667,1.8333
1,4,4.1667,3.3333,2.1667,2
1,4.1667,3.8333,3,2.1667,2
1,4,3.5,2.5,2.6667,2
1,4.5,4.3333,2.6667,1.6667,2
1,3.5,4.5,2.5,1.3333,2
1,4.5,4.5,1.8333,1.8333,2
1,4,2.8333,1.5,1.5,2
1,2.3333,2.5,2.3333,2.5,2
1,4.5,4.3333,3.3333,3.1667,2
1,4.6667,3,3.3333,3.3333,2
1,3.8333,4.1667,1,1.5,2
1,2.8333,3.3333,2,2.6667,2
1,3.8333,3.6667,1.8333,2.1667,2
1,4,3.6667,3,2.6667,2
1,3.1667,4.3333,2.1667,1.6667,2
1,3.3333,2.1667,3.3333,3.5,2
1,3.8333,3.8333,2.5,2.1667,2
1,2.8333,4.1667,1.6667,0.33333,2
1,4.5,4.5,1.5,1,2
1,4,4.1667,1.1667,1.5,2
1,4.3333,4.3333,3.1667,3,2
1,3,3,2.1667,2.3333,2
1,3.6667,2.6667,2.3333,3.1667,2
1,3.3333,2.6667,2.8333,3,2
1,3.6667,3.8333,2.8333,2.8333,2
1,3,3,1.8333,3.5,2
1,3.6667,4.1667,1.5,2,2
1,4.3333,4.5,2.1667,1.3333,2
1,2.5,3.5,2.6667,2.8333,2
1,4.6667,3.5,3.1667,2.6667,2
1,4.5,4.6667,0.66667,1,2
1,3.1667,3.1667,1.6667,2.3333,2
1,3.8333,4.5,3,1.5,2
1,3.6667,4.5,3,2.8333,2
1,3.6667,4.5,2.8333,1.6667,2
1,4,5,2.1667,2.3333,2
1,3.6667,4,2.1667,2.3333,2
1,3.3333,2.8333,1.8333,2.3333,2
1,5,4,0.66667,2,2
1,4.5,4.8333,2.8333,2.6667,2
1,3.3333,4.3333,0.66667,1.3333,2
1,4,3.3333,2.8333,2.3333,2
1,3.5,3.8333,1.1667,1.6667,2
1,4.5,4.8333,0.16667,0.83333,2
1,3.1667,3.1667,2.6667,2.6667,2
1,3.8333,4.3333,2.6667,2.5,2
1,3,3.5,2.8333,2.5,2
1,3.8333,4.5,1.5,1.1667,2
1,4.8333,3.8333,2,1.6667,2
1,3.8333,3.1667,3,2.6667,2
1,3.8333,3.6667,2.1667,2.1667,2
1,4.8333,4.1667,3,2.8333,2
1,4.3333,3.5,2.3333,3,2
1,4.6667,4,2.6667,2.8333,2
1,4,4.1667,1.3333,1.5,2
1,3.8333,2.8333,2.2,2.1667,2
1,4.8333,4.8333,1.8333,3,2
1,3.1667,3.8333,2.6667,2.6667,2
1,4.3333,3.3333,3.1667,3,2
1,4,4.1667,2.5,2.1667,2
1,4.1667,4,2.1667,2.1667,2
1,4.4,3.5,2,2.3333,2
1,3.8333,4.5,1.1667,2.8333,2
1,4.8333,5,1.8333,2.5,2
1,4,4.6667,2,1.3333,2
1,4.5,4.5,2.1667,2.1667,2
1,4.2,4,1.6667,1.5,2
1,4.5,3.5,2.3333,2.8333,2
1,4.1667,4.8333,3.3333,2.3333,2
1,3.3333,3.8333,2.8,2.6667,2
1,4.5,4,2.8333,2.1667,2
1,4,4.3333,2.3333,2.5,2
1,3.8333,4.5,1.1667,1.8333,2
1,3.6667,4,3.1667,2.5,2
1,3,3.8333,2.1667,3.1667,2
1,4.3333,4.3333,0.5,1.6667,2
1,4.5,3.6667,2.8333,2.3333,2
1,2.8333,1.5,2.1667,1.8333,2
1,2.6667,4.1667,1,0.83333,2
1,4,4.5,1.6667,2.5,2
1,4.8333,4,2,1.6667,2
1,4,4,2,2.5,2
1,4.3333,3.8333,1.5,3.6667,2
1,1.8333,3.3333,2,2.3333,2
1,3.6667,4,3.5,2.8333,2
1,4,3.6667,1.5,1.8333,2
1,2.8333,4,2.6667,1.8333,2
1,3.8333,3.5,1.3333,2.6667,2
1,3.5,3.5,2.3333,3.3333,2
1,3.8333,4,1.3333,2.3333,2
1,3.3333,2.8333,1.1667,1.8333,2
1,4.8333,4.8,2.1667,1.3333,2
1,1.8333,3.6667,1.5,1.5,2
1,4.3333,4,2.6667,2.3333,2
1,3.8333,4,1.8333,2.6667,2
1,4,4.5,1.6667,1.6667,2
1,4,3.8333,2.5,2,2
1,3.8333,3,1.8333,2.6667,2
1,3.8333,4.8333,2.3333,2.1667,2
1,4.1667,4.3333,2.1667,2.3333,2
1,4.6667,3.6667,1.8333,2.2,2
1,3.8333,3.3333,2.8333,2.3333,2
1,4,4.6667,2.6667,2.5,2
1,4.1667,3.1667,2.8333,2.8333,2
1,4.3333,4,2.8333,2.3333,2
1,4.1667,4.5,1.3333,2.3333,2
1,4.3333,4,1.8333,2,2
1,4.3333,4.3333,4.1667,2.8333,2
1,4.3333,4.6667,3,2.3333,2.1667
1,4.8333,4,1.8333,1.8333,2.1667
1,4.6667,4.3333,3,3.3333,2.1667
1,4.6667,3.3333,3,2,2.1667
1,4.6667,4.5,3.5,2.8333,2.1667
1,4.1667,4.3333,3.8333,3.6667,2.1667
1,3.3333,4,3,3,2.1667
1,3.8333,4.5,1.3333,1.3333,2.1667
1,2.8333,3.6667,3.1667,2.1667,2.1667
1,4.6667,4.8333,1.3333,1.8333,2.1667
1,5,4.3333,2.8333,2.5,2.1667
1,4,4,1.3333,1.5,2.1667
1,3.5,3.8333,3.3333,3.1667,2.1667
1,4.5,3.3333,1.1667,0.83333,2.1667
1,3.5,3,3.1667,3.1667,2.1667
1,3.3333,3.6667,2.6667,3.6667,2.1667
1,4.1667,2.3333,3.3333,2.8333,2.1667
1,3,2.8333,2,3,2.1667
1,2.5,3.1667,2.5,3.3333,2.1667
1,2.5,3,1.5,2.5,2.1667
1,5,4,1.6667,1.3333,2.1667
1,4.1667,4,0.83333,1.6667,2.1667
1,4.8333,4.1667,1.6667,2.5,2.1667
1,4.6667,4.6667,1.8333,2,2.1667
1,4.8333,4.1667,2.5,1.5,2.1667
1,3.8333,4.3333,2.8333,2.6667,2.1667
1,3.1667,3.8333,2.3333,2.3333,2.1667
1,4.8333,3.1667,2.5,1.8,2.1667
1,4.1667,3.5,3.1667,3.1667,2.1667
1,3.5,3.6667,1.5,1.8333,2.1667
1,3.5,4,2.6667,2,2.1667
1,3.3333,4,2.3333,2.1667,2.1667
1,3.6667,4.3333,1.3333,1.3333,2.1667
1,2.6667,3.8333,2.6667,2.3333,2.1667
1,4,4.6667,2.5,1.8333,2.1667
1,3.6667,4.1667,2.5,2.6667,2.1667
1,3.1667,2.6667,1.8333,1.6667,2.1667
1,4.3333,4,3.6667,3.1667,2.1667
1,3.8333,4.6667,3.6667,3.3333,2.1667
1,4.1667,4.2,2.6667,3.1667,2.1667
1,4,4,2.1667,2.8333,2.1667
1,3.6667,4.3333,2.6667,1.3333,2.1667
1,4.6667,4.3333,2.5,2,2.1667
1,4,4.5,1.4,2.5,2.1667
1,2.6667,3.3333,2.5,3.3333,2.1667
1,3.8333,4.5,2.1667,2.1667,2.1667
1,4.8333,4.3333,1.6667,2.3333,2.1667
